timestamp,sensor,value
2026-02-20T13:30:00,S1,18.468
2026-02-20T13:30:00,S2,180
anomaly
2026-02-20T13:30:00,S3,5.03
2026-02-20T13:30:00,S4,7.026
2026-02-20T13:35:00,S1,17.125
2026-02-20T13:35:00,S2,28.274
2026-02-20T13:35:00,S3,5.103
2026-02-20T13:35:00,S4,7.123
2026-02-20T13:40:00,S1,17.155
2026-02-20T13:40:00,S2,29.342
2026-02-20T13:40:00,S3,5.037
2026-02-20T13:40:00,S4,7.101
2026-02-20T13:45:00,S1,18.225
2026-02-20T13:45:00,S2,29.294
2026-02-20T13:45:00,S3,5.049
2026-02-20T13:45:00,S4,7.046
2026-02-20T13:50:00,S1,16.86
2026-02-20T13:50:00,S2,28.518
2026-02-20T13:50:00,S3,5.048
2026-02-20T13:50:00,S4,7.037
2026-02-20T13:55:00,S1,17.52
2026-02-20T13:55:00,S2,28.827
2026-02-20T13:55:00,S3,5.042
2026-02-20T13:55:00,S4,7.05
2026-02-20T14:00:00,S1,17.577
2026-02-20T14:00:00,S2,28.941
2026-02-20T14:00:00,S3,4.967
2026-02-20T14:00:00,S4,7.15
2026-02-20T14:05:00,S1,17.436
2026-02-20T14:05:00,S2,28.7
2026-02-20T14:05:00,S3,5.106
2026-02-20T14:05:00,S4,7.087
2026-02-20T14:10:00,S1,17.756
2026-02-20T14:10:00,S2,28.77
2026-02-20T14:10:00,S3,4.995
2026-02-20T14:10:00,S4,7.09
2026-02-20T14:15:00,S1,16.974
2026-02-20T14:15:00,S2,28.638
2026-02-20T14:15:00,S3,5.036
2026-02-20T14:15:00,S4,7.057
2026-02-20T14:20:00,S1,17.281
2026-02-20T14:20:00,S2,27.69
2026-02-20T14:20:00,S3,4.99
2026-02-20T14:20:00,S4,7.068
2026-02-20T14:25:00,S1,17.334
2026-02-20T14:25:00,S2,28.021
2026-02-20T14:25:00,S3,5.13
2026-02-20T14:25:00,S4,7.017
2026-02-20T14:30:00,S1,17.569
2026-02-20T14:30:00,S2,28.623
2026-02-20T14:30:00,S3,4.972
2026-02-20T14:30:00,S4,7.145
2026-02-20T14:35:00,S1,16.764
2026-02-20T14:35:00,S2,28.791
2026-02-20T14:35:00,S3,5.098
2026-02-20T14:35:00,S4,7.019
2026-02-20T14:40:00,S1,17.622
2026-02-20T14:40:00,S2,28.21
2026-02-20T14:40:00,S3,5.036
2026-02-20T14:40:00,S4,7.061
